가	g a
가게	g a g e
가격	g a g y eo K
가계	g a g y e
가공	g a g o NG
가공품	g a g o NG p u M
가구	g a g u
가구주	g a g u j u
가급적	g a g eu P jj eo K
가까스로	g a kk a s eu r o
가까운	g a kk a u N
가까워	g a kk a w eo
가까워요	g a kk a w eo y o
가까웠	g a kk a w eo T
가까이	g a kk a i
가깝	g a kk a P
가꾸	g a kk u
가끔	g a kk eu M
가나	g a n a
가나가와현	g a n a g a w a h y eo N
가난	g a n a N
가늠	g a n eu M
가능	g a n eu NG
가다듬	g a d a d eu M
가닥	g a d a K
가담	g a d a M
가도	g a d o
가독성	g a d o K ss eo NG
가동	g a d o NG
가두	g a d u
가득	g a d eu K
가득찬	g a d eu K ch a N
가디언	g a d i eo N
가뜩이나	g a tt eu g i n a
가라사대	g a r a s a d e
가라앉	g a r a a N
가라앉히	g a r a a N ch i
가래	g a r e
가량	g a r y a NG
가려	g a r y eo
가려내	g a r y eo n e
가려낸	g a r y eo n e N
가려서	g a r y eo s eo
가려야	g a r y eo y a
가려운	g a r y eo u N
가려워	g a r y eo w eo
가령	g a r y eo NG
가로	g a r o
가로등	g a r o d eu NG
가로막	g a r o m a K
가로막혀	g a r o m a k y eo
가로지르	g a r o j i r eu
가로질러	g a r o j i L r eo
가로축	g a r o ch u K
가루	g a r u
가르	g a r eu
가르쳐	g a r eu ch y eo
가르쳤	g a r eu ch y eo T
가르치	g a r eu ch i
가르칠	g a r eu ch i L
가르침	g a r eu ch i M
가르칩니다	g a r eu ch i M n i d a
가름	g a r eu M
가리	g a r i
가리켜	g a r i k y eo
가리켰	g a r i k y eo T
가리키	g a r i k i
가린	g a r i N
가릴	g a r i L
가림막	g a r i M m a K
가마	g a m a
가마솥	g a m a s o T
가만	g a m a N
가만히	g a m a N h i
가망	g a m a NG
가맹	g a m e NG
가맹점	g a m e NG j eo M
가명	g a m y eo NG
가문	g a m u N
가뭄	g a m u M
가발	g a b a L
가방	g a b a NG
가벼운	g a b y eo u N
가벼워	g a b y eo w eo
가벼워졌	g a b y eo w eo j y eo T
가볍	g a b y eo P
가본	g a b o N
가비	g a b i
가비아	g a b i a
가사	g a s a
가산점	g a s a N j eo M
가상	g a s a NG
가설	g a s eo L
가성	g a s eo NG
가세	g a s e
가속	g a s o K
가수	g a s u
가수요	g a s u y o
가스	g a s eu
가스공사	g a s eu g o NG s a
가스프롬	g a s eu p eu r o M
가슴	g a s eu M
가슴뼈	g a s eu M pp y eo
가슴살	g a s eu M s a L
